search_term,position_first_amazon,position_first_non_amazon,position_first_wholly_non_amazon,amazon_stars,amazon_reviews,non_amazon_stars,non_amazon_reviews,wnon_amazon_stars,wnon_amazon_reviews
avengers toys,14.0,2,39.0,4.7,551,3.8,240,4.5,248
avent bottles,47.0,4,40.0,4.1,206,4.8,14651,4.8,1032
avia leggings,42.0,5,6.0,4.4,2518,4.7,13448,4.1,25
avia womens active wear,13.0,1,2.0,4.5,7766,4.1,1154,4.1,25
avocado oil,9.0,5,13.0,4.8,916,4.8,2625,4.8,53
away luggage,11.0,2,,4.7,20769,4.7,8971,,
awesome blossoms dolls,9.0,1,1.0,4.7,14364,4.2,42,4.2,42
awesome gifts,13.0,1,,4.5,188,4.8,798,,
awesome gifts for men,7.0,2,,4.6,1351,4.8,172,,
awnings for patio,54.0,5,,,,4.2,797,,
ayurveda books,50.0,4,,4.8,187,4.9,58,,
azelaic acid,17.0,5,44.0,4.3,254,4.4,1860,5.0,10
azo bladder control,50.0,5,10.0,4.3,6353,4.3,7035,,
azo cranberry,32.0,5,7.0,4.7,54,4.7,19961,4.8,17
azo cranberry urinary tract health,57.0,5,7.0,4.7,129,4.7,19960,4.8,17
azo urinary pain relief,40.0,5,10.0,4.7,129,4.7,11739,4.4,15
azo yeast plus,24.0,2,5.0,4.6,5023,4.6,5528,5.0,1
aztec sweaters for women,3.0,2,2.0,4.4,5734,4.3,4904,4.3,4904
baby,1.0,3,22.0,4.8,65152,4.6,5134,5.0,3
baby alive,4.0,2,39.0,4.6,2267,4.8,5319,4.7,1528
baby bassinets,41.0,2,47.0,4.6,34,4.7,2525,4.7,242
baby bath,45.0,2,39.0,4.8,1957,4.5,7175,4.2,26
baby bath toys,19.0,2,,4.8,5951,4.6,17437,,
baby bibs,24.0,5,,4.8,3593,4.5,1021,,
baby bibs & burp cloths,8.0,2,,4.8,3593,4.8,3184,,
baby blankets,4.0,1,2.0,4.7,5749,4.7,9981,,
baby books,1.0,4,,4.8,29035,4.7,81,,
baby bouncer,35.0,2,,4.7,5035,4.7,556,,
"baby bouncers, jumpers & swings",29.0,1,12.0,4.7,5035,3.8,22,4.7,34
baby boy clothes,3.0,2,,4.9,18094,4.7,24570,,
baby boy's clothing,1.0,2,,4.7,15400,4.7,24570,,
baby brezza,14.0,2,15.0,4.1,206,4.6,2531,,
baby car seat,42.0,2,44.0,4.7,641,4.9,37271,4.9,63
baby care products,14.0,2,,4.8,1957,4.8,3842,,
baby clothes,1.0,3,,4.7,2470,4.7,2499,,
baby diapers,29.0,5,,4.3,18362,4.8,11384,,
baby doll,5.0,2,,4.6,1763,4.7,6910,,
baby essentials for newborn,36.0,2,,4.8,3002,4.7,7088,,
baby food,11.0,5,55.0,4.8,258,4.8,3117,4.7,10
baby foot peel,52.0,5,11.0,4.2,42,4.3,31105,4.5,17837
baby formula,12.0,1,21.0,4.7,272,4.8,4462,4.8,138
baby gear,4.0,1,,4.7,2454,4.6,768,,
baby gift sets,52.0,3,,4.8,8101,4.8,997,,
baby gifts,1.0,4,,4.9,2999,4.6,5134,,
baby girl clothes,5.0,2,,4.8,8101,4.7,2499,,
baby girl stuff,33.0,2,,4.8,8101,4.6,1630,,
baby girls' clothing,4.0,2,,4.8,8101,4.8,7254,,
baby gym,9.0,2,,4.8,8642,4.8,19401,,
baby gyms & playmats,10.0,2,53.0,4.8,8641,4.5,13,4.5,17
baby jumper,18.0,1,21.0,4.8,3089,4.8,5713,4.7,1692
baby lotion,52.0,4,,4.4,28,4.8,6423,,
baby mats for playing,32.0,2,3.0,4.8,8642,4.3,75,4.6,66
baby mittens,21.0,2,,4.8,23440,4.6,3988,,
baby onesies,1.0,3,4.0,4.8,5578,4.8,11208,,
baby play mat,21.0,3,29.0,4.8,8641,4.8,19401,4.6,66
baby registry search,10.0,1,39.0,4.9,2999,4.7,2883,4.8,6071
baby seats for sitting up,7.0,2,44.0,4.7,5035,4.7,21953,3.8,281
baby shampoo,13.0,2,23.0,4.6,590,4.8,7740,4.7,395
baby sleepwear,1.0,4,,4.7,15400,4.7,9160,,
baby socks,20.0,5,58.0,4.7,2875,4.8,9471,4.7,120
baby spoons,53.0,2,,4.7,251,4.7,11789,,
baby stroller,19.0,3,9.0,4.7,641,4.5,4156,4.6,381
baby stroller travel systems,9.0,3,15.0,4.7,641,4.9,450,4.8,1537
baby swing,7.0,2,41.0,4.8,481,4.5,9206,4.2,14
baby swings for infants,9.0,2,,4.8,481,4.5,9206,,
baby teether toys,1.0,3,,4.8,1579,4.8,6528,,
baby thermometer,28.0,5,,4.6,4159,4.7,228,,
baby towel,7.0,2,,4.8,2430,4.7,13828,,
baby towels,8.0,2,,4.8,1957,4.3,4574,,
baby toys,6.0,2,53.0,4.6,39513,4.6,5134,4.6,442
baby travel gear,25.0,1,,4.5,5000,5.0,2,,
baby walkers,21.0,2,11.0,4.8,3089,4.4,9782,4.6,561
baby washcloths,6.0,5,,4.7,751,4.8,428,,
baby wipes,5.0,6,42.0,4.7,39095,4.8,28417,4.6,3
baby yoda,13.0,1,4.0,4.8,214,4.5,225,5.0,3
back to school supplies,48.0,1,18.0,4.8,930,4.3,39,4.6,229
backpack,4.0,2,5.0,4.5,13337,4.8,4698,4.2,527
badge holder,49.0,2,,4.6,1435,4.7,6361,,
bai drinks,50.0,5,18.0,4.6,2107,4.6,8038,4.8,85
baking powder,9.0,2,43.0,4.8,3772,4.7,1219,4.7,9
baking soda,25.0,5,8.0,4.8,3620,4.7,2267,4.7,1052
balloons,17.0,5,,4.2,230,4.6,8031,,
bandanas,1.0,3,3.0,4.6,23,4.5,1119,4.5,1119
bandanas for men,1.0,4,6.0,4.6,23,4.5,14387,4.5,1119
bankers box,22.0,5,35.0,4.8,971,4.7,924,4.7,742
bar soap,43.0,5,42.0,4.7,187,4.8,3676,4.9,612
barbie,40.0,1,19.0,4.7,111,4.7,10085,,
barbie dolls,24.0,1,31.0,4.7,111,4.7,2375,,
barbie dream house,4.0,2,5.0,4.7,3854,4.8,14544,4.1,22
basketball hoop,6.0,3,4.0,4.8,20361,4.7,2628,4.0,97
basmati rice,39.0,5,27.0,4.6,3228,4.7,1779,4.2,87
bath and body works,13.0,1,17.0,4.9,519020,4.5,28,4.4,13
bath toys,47.0,3,,4.8,5951,4.6,17437,,
bathroom decor,10.0,2,,4.6,4682,4.0,8426,,
batman toys,22.0,1,17.0,4.9,2142,4.1,3821,4.6,53
battery,5.0,7,42.0,4.7,229112,4.8,38424,4.8,6660
